title,authors,publishedDate,categories,description,averageRating,textSnippet
These Twain,['Arnold Bennett'],1916,['Clayhanger family (Fictitious characters)'],"Hilda Lessways og Edwin Clayhanger møder igen hinanden efter mange omskiftelser, men hverdagen i deres ægteskab former sig anderledes, end de har tænkt sig",N/A,N/A
To Marry an English Lord,"['Gail MacColl', 'Carol Wallace']",1989,['History'],"BOOK THAT INSPIRED DOWNTON ABBEY Here is the American Heiress's story. Filled with tales of wealth and marriage, sex and snobbery - and 100-year-old gossip that's still scorching - To Marry an English Lord is heavily illustrated and an energetic presentation of popular history",N/A,N/A
The Story of a New Name,['Elena Ferrante'],2016-07-06,['Fiction'],"A New York Times BestsellerThe Neapolitan Novels (Book 2)A modern masterpice from one of Italy's most acclaimed authors. My Brillant Briend is a rich, intense, and generous-hearted portrait of two friends, Elena and Lila. Through their lives, Ferrante tells the story of a neighborhood, a city, and a country undergoing momentous change.",N/A,N/A
The Irrational Knot,['Bernard Shaw'],1926,['English fiction'],N/A,N/A,N/A
The Study of Seduction,['Sabrina Jeffries'],2016-03-22,['Fiction'],"When a too-persistent suitor forces her into a marriage of convenience with Edwin Barlow, the Earl of Blakeborough, the unexpected passion that Lady Clarissa Lindsey finds with her husband is threatened by her stalker.",N/A,N/A
Love Lasts Three Years,['Frédéric Beigbeder'],2007,['Authorship'],N/A,N/A,N/A
The Life and Death of the Mayor of Casterbridge,['Thomas Hardy'],1912,['Atonement'],Henchard's fortunes decline as his personal life deteriorates.,N/A,N/A
Anne's House of Dreams,['L. M. Montgomery'],2018-06-21,['Canada'],"Anne of Green Gables, the orphan girl who lives on Prince Edward Island, experiences romance as she begins her years of young adulthood.",N/A,N/A
The Silent Patient,['Alex Michaelides'],2019,['Husband and wife'],"Alicia Berenson writes a diary as a release, an outlet - and to prove to her beloved husband that everything is fine. She can't bear the thought of worrying Gabriel, or causing him pain. Until, late one evening, Alicia shoots Gabriel five times and then never speaks another word. Forensic psychotherapist Theo Faber is convinced he can successfully treat Alicia, where all others have failed. Obsessed with investigating her crime, his discoveries suggest Alicia's silence goes far deeper than he first thought. And if she speaks, would he want to hear the truth?",N/A,N/A
The Boundaries of Eros,['Guido Ruggiero'],1989,['Families'],N/A,N/A,N/A
Marriage and Morals,['Bertrand Russell'],1929,['Marriage'],N/A,N/A,N/A
Breaking Dawn Special Edition,['Stephenie Meyer'],2009-08-04,['Juvenile Fiction'],"In the latest addition to the author's vampire love saga which includes a full-color poster and other exclusives, questions are answered about the fate of Bella and Edward, in a special slipcased edition. 400,000 first printing.",N/A,N/A
One with You,['Sylvia Day'],2016-04-05,['Fiction'],"FROM NUMBER ONE INTERNATIONAL BESTSELLING AUTHOR SYLVIA DAY The final chapter in the global blockbuster Crossfire quintet Gideon Cross. Falling in love with him was the easiest thing I've ever done. It happened instantly. Completely. Irrevocably. Marrying him was a dream come true. Staying married to him is the fight of my life. Love transforms. Ours is both a refuge from the storm and the most violent of tempests. Two damaged souls entwined as one. We have bared our deepest, ugliest secrets to one another. Gideon is the mirror that reflects all my flaws . . . and all the beauty I couldn't see. He has given me everything. Now, I must prove I can be the rock, the shelter for him that he is for me. Together, we could stand against those who work so viciously to come between us. But our greatest battle may lie within the very vows that give us strength. Committing to love was only the beginning. Fighting for it will either set us free . . . or break us apart. Heartbreakingly and seductively poignant, One with You is the breathlessly awaited finale to the Crossfire saga, the searing love story that has captivated millions of readers worldwide.",5,N/A
The Kreutzer Sonata,['graf Leo Tolstoy'],1896,['Arts and society'],N/A,N/A,N/A
The Delights of Wisdom on the Subject of Conjugial Love,['Emanuel Swedenborg'],1996,['Love'],"Excerpt: ...the learned; for thereby we discover what influx is, and what it effects. By influx we mean all that which precedes, and constitutes what follows, and by things following in order constitutes what is last; as all that which precedes with a man, and constitutes his wisdom; or all that which precedes with a statesman, and constitutes his political skill; or all that which precedes with a theologian, and constitutes his erudition; in like manner all that which proceeds from infancy, and constitutes a man; also what proceeds in order from a seed and a twig, and makes a tree, and afterwards what proceeds from a blossom, and makes its fruit; in like manner all that which precedes and proceeds with a bridegroom and bride, and constitutes their marriage: this is the meaning of influx. That all those things which precede in minds form series, which collect together, one next to another, and one after another, and that these together compose a last or ultimate, is as yet unknown in the world; but as it is a truth from heaven, it is here adduced for it explains what influx effects, and what is the quality of the last or ultimate, in which the above-mentioned series successively formed co-exist. From these considerations it may be seen that the states of the minds of each of the parties proceeding in successive order flow into the state of marriage. But married partners after marriage are altogether ignorant of the successive things which are insinuated into, and exist in their minds (animis) from things antecedent; nevertheless it is those things which give form to conjugial love, and constitute the state of their minds; from which state they act the one with the other. The reason why one state is formed from one order with such as are spiritual, and from another with such as are natural, is, because the spiritual proceed in a just order, and the natural in an unjust order; for the spiritual look to the Lord, and the Lord provides and leads the order; whereas...",N/A,N/A
Wedding Night,['Sophie Kinsella'],2013,['Fiction'],"When Lottie accepts an ex's offer of marriage in fulfillment of a pact made years earlier that they would marry if they were still single in their thirties, the arrangement prompts disapproval and a renewal of passion.",N/A,N/A
The Valley of the Moon,['Jack London'],1988,['Fiction'],"A road novel 50 years before Kerouac, ""The Valley of the Moon"" traces the odyssey of Billy and Saxon Roberts from the labor strife of Oakland at the turn of the century through Central and Northern California in search of land they can farm independently.",N/A,N/A
The Other Passenger,['Louise Candlish'],2021-07-20,['Fiction'],"One of CrimeReads’s Most Anticipated Crime Books of 2021 Longlisted for the Theakston Old Peculier 2021 Crime Novel of the Year The “queen of the sucker-punch twist” (Ruth Ware, #1 New York Times bestselling author) and author of Our House weaves an unputdownable page-turner about a commuter who becomes a suspect in his friend’s mysterious disappearance. It all happens so quickly. One day you’re living the dream, commuting to work by ferry with your charismatic neighbor Kit in the seat beside you. The next, Kit hasn’t turned up for the boat and his wife, Melia, has reported him missing. When you get off at your stop, the police are waiting. Another passenger saw you and Kit arguing on the boat home the night before and the police say that you had a reason to want him dead. You protest. You and Kit are friends—ask Melia, she’ll vouch for you. And who exactly is this other passenger pointing the finger? What do they know about your lives? No, whatever danger followed you home last night, you are innocent, totally innocent. Aren’t you?",4,N/A
Katia,['Leo Tolstoy'],2019-07-07,['Fiction'],"Katia is the 1859 novel by Leo Tolstoy. The story is about young wife and her much older husband that come to realize they want different things out of life. There are ideals of happiness are not the same. The tone of the book is set but the opening line. ""We were in mourning for our mother, who had died the preceding autumn, and we had spent all the winter alone in the country--Macha, Sonia and I.""",N/A,N/A
The Valley of the Moon,['Jack London'],2021-05-07,[],"The Valley of the Moon (1913) is a novel by American writer Jack London. Inspired by his experiences as a working-class man and dedicated socialist, London incorporates aspects of his own biography--his interest in sailing, his life on a ranch in Sonoma County--to tell a story of hardship, hope, and perseverance. Having grown disillusioned with the labor movement, London uses the novel to advocate for sustainable agriculture and other alternatives to industry, urban life, and modernization. A former professional boxer, Billy works as a Teamster in Oakland, where strikes and demonstrations for the labor movement often turn violent. Soon after his marriage to Saxon, a young laundry worker, Billy is arrested for assaulting a strikebreaker, the stress of which contributes to his wife's miscarriage. When he is released from jail, Saxon convinces him to reject the labor movement, and the two embark on a journey north to look for work and a new life away from the city. On the way, they meet immigrant farmers who instruct them in the ways of sustainable farming, briefly join an artists' colony, and befriend a young journalist and his wife. After winning a substantial amount of money in a boxing match, Billy purchases a team of horses and envisions a life of prosperity and safety with which to start a family. The Valley of the Moon, though relatively unsuccessful at the time of its publication, is a meditative work that illuminates the disparities of the American Dream and provides alternatives without succumbing to despair. In its pages, we see the prototype for such authors as John Steinbeck and Jack Kerouac, visionaries and restless souls who refused to accept that life was impossible to change. With a beautifully designed cover and professionally typeset manuscript, this edition of Jack London's The Valley of the Moon is a classic of American literature reimagined for modern readers.",N/A,N/A
"To Sir Phillip, with Love",['Julia Quinn'],2003,['Fiction'],She wrote him a letter and he stole her heart.,N/A,N/A
Someone Else's Wedding,['Tamar Cohen'],2014,['Families'],"Mr and Mrs Max Irving request the company of: Mrs Fran Friedman, mourning her empty nest, the galloping years and a disastrous haircut. Mr Saul Friedman, runner of marathons, and increasingly distant husband. The two Misses Friedman, Pip and Katy - one pining over the man she can't have, the other shaking off the man she no longer wants. At the marriage of their son, James Irving, forbidden object of troubling desire. For thirty-six hours of secrets and lies, painted-on smiles and potential ruin. And drinks, plenty of drinks... There's nothing like a wedding for stirring up the past. As Fran negotiates her way from Saturday morning to Sunday evening, she is forced to confront long-buried memories, and to make decisions that will have far-reaching consequences for them all.",N/A,N/A
Virginibus Puerisque,['Robert Louis Stevenson'],1904,['Marriage'],N/A,N/A,N/A
Modern Love,['David Shumway'],2003-08,['Family & Relationships'],"“My ideas of romance came from the movies,” said Woody Allen, and it is to the movies—as well as to novels, advice columns, and self-help books—that David Shumway turns for his history of modern love. Modern Love argues that a crisis in the meaning and experience of marriage emerged when it lost its institutional function of controlling the distribution of property, and instead came to be seen as a locus for feelings of desire, togetherness, and loss. Over the course of the twentieth century, partly in response to this crisis, a new language of love—“intimacy”—emerged, not so much replacing but rather coexisting with the earlier language of “romance.” Reading a wide range of texts, from early twentieth-century advice columns and their late twentieth-century antecedent, the relationship self-help book, to Hollywood screwball comedies, and from the “relationship films” of Woody Allen and his successors to contemporary realist novels about marriages, Shumway argues that the kinds of stories the culture has told itself have changed. Part layperson’s history of marriage and romance, part meditation on intimacy itself, Modern Love will be both amusing and interesting to almost anyone who thinks about relationships (and who doesn’t?).",N/A,N/A
What Makes Love Last?,"['John Gottman', 'John Mordechai Gottman', 'Nan Silver']",2012-09-04,['Family & Relationships'],One of the foremost relationship experts applies the insights of science toward understanding the real meaning of trust between a couple and suggests a new approach to handle adultery.,N/A,N/A
An Unlikely Romance,['Betty Neels'],2012-10-30,['Fiction'],"Agreeing to share her life with Professor van der Brink-Shaaksma had seemed a good idea to Beatrice at the time. But while fine in theory, the ""no strings attached"" deal soon proved to be disastrous. For how could it work when every time she saw him, her heart skipped a beat? And what could she do now to make him notice her--not just as his wife but as his partner?",N/A,N/A
Devdas,['Śaratcandra Caṭṭopādhyāẏa'],2002*,['Bengali fiction'],N/A,N/A,N/A
The Delights of Wisdom Concerning Conjugial Love,['Emanuel Swedenborg'],1899,['Marriage'],N/A,N/A,N/A
The Real Thing,['Tom Stoppard'],1984,['Drama'],"A tie-in edition to the upcoming Broadway revival of Tom Stoppard's extraordinary play about love and marriage--the work that has been called ""the most moving play"" (""The New York Times"") he has ever written.",N/A,N/A
DRY HEART.,['NATALIA. GINZBURG'],2020,[],N/A,N/A,N/A
The Age of Innocence,"['Edith Wharton', 'C. W. E. Bigsby']",1993,['Historical fiction'],"Cambridge Literature is a series of literary texts edited for study by students aged 14-18 in English-speaking classrooms. It will include novels, poetry, short stories, essays, travel-writing and other non-fiction. The series will be extensive and open-ended and will provide school students with a range of edited texts taken from a wide geographical spread. It will feature writing in English from various genres and differing times. The Age of Innocence by Edith Wharton is edited by Janet Beer Goodwyn, Senior Lecturer in the Department of English at Roehampton Institute.",N/A,N/A
Becoming Soul Mates,['Les Parrott'],1997-10-27,['Family & Relationships'],This book helps new couples cultivate a strong spiritual union with 52 devotions from two authorities on marriage enrichment.,N/A,N/A
A Doll's House,['Henrik Ibsen'],2001,['Families'],N/A,N/A,N/A
"Philosophy of Love, Sex, and Marriage",['Raja Halwani'],2018,['Love'],"How is love different from lust or infatuation? Do love and marriage really go together ""like a horse and carriage""? Does sex have any necessary connection to either? And how important are love, sex, and marriage to a well-lived life? In the Second Edition of this lively, lucid, and comprehensive book, Raja Halwani explores and elucidates the nature, uses, and ethics of romantic love, sexuality, and marriage. It is structured in three parts: Love examines the nature of romantic love and how it differs from other types of love, such as friendship and parental love. It also investigates the relationship of love to morality and asks what limits morality puts on romantic love and even whether romantic love is inherently moral. Sex demonstrates the difficulty in defining sex and the sexual, and examines what constitutes good and bad sex in terms of pleasure, ""naturalness,"" and moral permissibility. It discusses the nature of sexual desire and its connection to objectification and virtue, all the while looking at specific sexual engagements such as pornography, BDSM, and raced desires. Marriage traces the history of the institution and describes the various forms in which marriage exists and the reasons why people marry. It also investigates the necessity of marriage and ways in which it requires reform. Updates and Revisions in the Second Edition Expands the coverage of love and morality from one to two chapters, incorporating much of the recent literature on love as a moral emotion. Includes a new chapter on sex and virtue ethics. Ends each of the chapters on sex with an ""applied"" topic, such as pornography, BDSM, prostitution, racial sexual desires, and adultery. Increases coverage of the nature and purpose of marriage, including debates surrounding same-sex marriage, but also moving beyond these debates to include issues on minimal marriage, temporary marriage, polygamy, and other forms of marriage. Updates the Further Reading and Study Questions sections at the end of each chapter and provides an up-to-date comprehensive bibliography at the back of the book. Includes new discussions of topics on the nature of love; love and reasons; distinctions between two types of romantic love; love and its connections to moral theories; definitions of crucial sexual concepts; objectification; virtue and sex; racial sexual desires; and the definition of marriage and whether it is important as an institution.",N/A,N/A
Law of Desire,['Shahla Haeri'],1989,['Eherecht - Islam'],"Om det islamiske begreb mut'a, ""midlertidigt ægteskab""og nikah ""permanent ægteskab""",N/A,N/A
Sense and Sensibility,['Jane Austen'],189?,['England'],N/A,N/A,N/A
The Rosie Project,['Graeme Simsion'],2014-10-01,['Australian fiction'],"First ever World Book Night Book Club bookDon Tillman is a socially-challenged genetics professor. He has started ""The Wife Project"" - designing a 16-page questionnaire to help him find the perfect partner. When Rosie Jarman comes to his office, Don assumes it's to apply for the role - and duly discounts her on the grounds that she smokes, drinks, doesn't eat meat, and is incapable of punctuality. However, Rosie has no interest in becoming Mrs Tillman and is actually there to enlist Don's professional assistance to help her find her biological father. Sometimes, though, you don't find love: love finds you...",N/A,N/A
From the Margins of Hindu Marriage,"['Lindsey Harlan', 'Paul B. Courtright']",1995,['Family & Relationships'],"Providing a unique and intimate view of Hindu marriage, the essays in this collection explore points at which the margins of marriage are traversed or transgressed. Rather than focus on normative expectations within marriage, they examine times in which norms are tested or rejected. Using stories, songs, and narrated accounts, the essays treat such topics as widowhood, adultery, levirate, divorce, and suttee, as well as the subversion of marriage by devotion to deities and by alternative constructions of conjugal duty and marital experience.",N/A,N/A
The Meaning of Marriage,"['Timothy Keller', 'Kathy Keller']",2013-11-05,['Family & Relationships'],"Describes what marriage should be according to the Bible, arguing that marriage is a tool to bring individuals closer to God, and provides meaningful instruction on how to have a successful marriage.",N/A,N/A
The Saturday Wife,['Naomi Ragen'],2008-10-14,['Fiction'],"Beautiful, materialistic Delilah Levy, married to a young rabbi, finds her life beginning to unravel because of the temptations of the modern world and the incessant demands of her husband's congregation, her faith, and her life.",N/A,N/A
The Glimpses of the Moon,['Edith Wharton'],1994,['Fiction'],"Set in the 1920s, The Glimpses of the Moon details the romantic misadventures of Nick Lansing and Susy Branch, a couple with the right connections but not much in the way of funds. They devise a shrewd bargain: they'll marry and spend a year or so sponging off their wealthy friends, honeymooning in their mansions and villas. As Susy explains, ""We should really, in a way, help more than hamper each other. We both know the ropes so well; what one of us didn't see the other might -- in the way of opportunities, I mean."" The other part of the plan states that if either one of them meets someone who can advance them socially, they're each free to dissolve the marriage. How their plan unfolds is a comedy of eros that will charm all fans of Wharton's work.",N/A,N/A
Excellent Women,['Barbara Pym'],1980,['Marriage'],"""Excellent Women"" is one of Barbara Pyms richest and most amusing high comedies. Mildred Lathbury is a clergymans daughter and a mild-mannered spinster in 1950s England. She is one of those excellent women, the smart, supportive, repressed women who men take for granted. As Mildred gets embroiled in the lives of her new neighborsanthropologist Helena Napier and her handsome, dashing husband, Rocky, and Julian Malory, the vicar next doorthe novel presents a series of snapshots of human life as actually, and pluckily, lived in a vanishing world of manners and repressed desires.",N/A,N/A
Before She Met Me,['Julian Barnes'],2009,['Fiction'],"A remarkably original and subtle novel' Frank Kermode, New York Review of Books",N/A,N/A
The Selection,[],2012,[],N/A,N/A,N/A
Three Hours After Marriage,['John Gay'],1961,['English drama'],N/A,N/A,N/A
The Age of Innocence,['Edith Wharton'],2018-07-14,[],"The Age of Innocence by Edith Wharton Somewhere in this book, Wharton observes that clever liars always come up with good stories to back up their fabrications, but that really clever liars don't bother to explain anything at all. This is the kind of insight that makes The Age of Innocence so indispensable. Wharton's story of the upper classes of Old New York, and Newland Archer's impossible love for the disgraced Countess Olenska, is a perfectly wrought book about an era when upper-class culture in the U.S. was still a mixture of American and European extracts, and when society had rules as rigid as any in history. We are delighted to publish this classic book as part of our extensive Classic Library collection. Many of the books in our collection have been out of print for decades, and therefore have not been accessible to the general public. The aim of our publishing program is to facilitate rapid access to this vast reservoir of literature, and our view is that this is a significant literary work, which deserves to be brought back into print after many decades. The contents of the vast majority of titles in the Classic Library have been scanned from the original works. To ensure a high quality product, each title has been meticulously hand curated by our staff. Our philosophy has been guided by a desire to provide the reader with a book that is as close as possible to ownership of the original work. We hope that you will enjoy this wonderful classic work, and that for you it becomes an enriching experience.",N/A,N/A
Tommy and Grizel,['James Matthew Barrie'],1900,['Brothers and sisters'],N/A,N/A,N/A
The Longest Journey,['Edward Morgan Forster'],1997,['England'],"Bookish, sensitive Rickie Elliot is quite at home amid the placid and scholarly environs of Cambridge. That is, until he falls for the shallow young Agnes Pembroke. Forster skewers undergraduate philosophical debate, the opening day of a public school, and tea with a frightful dowager, as the dire consequences of mistaken love later developed in Howard's End take their toll. Together, these elements combine to form a deft blend of tragedy and social satire that readers will savor.",N/A,N/A
Only Beloved,['Mary Balogh'],2016-05-03,['Fiction'],From the legendary New York Times bestselling author of Only a Kiss and Only a Promise comes the final book in the rapturous Survivors Club seriesas the future of one man lies within the heart of a lost but never-forgotten love..,N/A,N/A
"Short Letter, Long Farewell",['Peter Handke'],1981,[],N/A,N/A,N/A
Echoes in Death,['J. D. Robb'],2017-02-07,['Fiction'],"""THE #1 NEW YORK TIMES BESTSELLING SERIES . . . The chilling new suspense novel from the author of Brotherhood in Death. After a party in New York, Lieutenant Eve Dallas rides home with her billionaire husband, Roarke, happy to be done with cocktails and small talk. After another party, not far away, a woman retires to her bedroom with her husband--and walks into a brutal nightmare. Their paths are about to collide... When the young woman--dazed, naked, and bloody--wanders in front of their car, Roarke slams on the brakes just in time, and Eve, still in glittering gown and heels, springs into action. It's been a long night for the tired homicide cop, and it's far from over. Daphne Strazza is rushed to the ER, but it's too late for Dr. Anthony Strazza. A brilliant orthopedic surgeon, he now lies dead amid the wreckage of his obsessively organized town house, his three safes opened and emptied. Daphne would be a valuable witness, but in her terror and shock the only description of the perp she can offer is repeatedly calling him ""the devil"" . . . While it emerges that Dr. Strazza was cold, controlling, and widely disliked--and that he treated Daphne like a trophy wife--this is one case where the evidence doesn't point to the spouse as the first suspect. So Eve and her team must get started on the legwork, interviewing everyone from dinner-party guests to professional colleagues to caterers, in a desperate race to answer some crucial questions: What does the devil look like? And where will he show up next?""--",N/A,N/A
"The Family, Sex and Marriage in England 1500-1800",['Lawrence Stone'],1990,['England'],"During the period of 1500 - 1800 there were massive changes in world social and cultural systems, and the family unit as we recognize it today came into being. The emphasis on the individual, the right to personal freeedoms and the desire for privacy developed during this period and were symptomatic of world-wide shifts in attitude that also affected religion and politics. This book is a study of the evolution of the family, from the impersonal, economically bonded and precarious extended family group of the sixteenth century to the smaller, affectively bonded nuclear unit that had appeared by the end of the eighteenth century, and shows how this process radically influenced child-rearing, education, contraception, sexual behaviour and marriage. This is a work that challenges many of the conventional views hitherto held about English society at that period.",N/A,N/A
Portraits of a Marriage,['Sándor Márai'],2011,['Marriage'],"Follows the experiences of a passionate triangle of lovers, including wealthy bourgeois couple Peter and Ilonka and their survival-minded servant, Judit.",N/A,N/A
Letters to Young Lovers,['Ellen Gould Harmon White'],1984-02,['Courtship'],"A group of letters and other counsel Mrs. White gave to couples in love. Thoughtful advice for all contemplating marriage - Foreword, I Love You, 1. Marriage-a Foretaste of Heaven, 2. Finding the Right Mate, 3. Is it Really Love?, 4. Looking for Help?, 5. In Control, 6. Sexual Responsibility, 7. Shadow Over the Nest",N/A,N/A
Lila,['Marilynne Robinson'],2014-10-07,['Fiction'],"In 1956, toward the end of Reverend John Ames's life, he begins a letter to his young son, a kind of last testament to his remarkable forebears.",N/A,N/A
Cinderella,['Charles Perrault'],1999,"[""Children's stories""]","With the help of her fairy godmother, a beautiful young woman mistreated by her stepmother and stepsisters attends the palace ball where she meets the prince whom she marries.",N/A,N/A
Social Structure,['George Peter Murdock'],1949,['Anthropology'],"Application of cultural anthropology, sociology, psychology, and psychoanalysis to the study of some 250 different cultures.",N/A,N/A
Northanger Abbey,['Jane Austen'],2017-05-13,['FICTION'],"* Easy to Read Large Print* Perfect for the visually impaired, older, and younger readers* High quality printing and a great value!Welcome to a special edition LARGE PRINT EDITION of a renowned classic. This classic, difficult-to-find text has been reprinted in a LARGER FONT using a print-on-demand service to provide you with an updated version of the text, at the best value possible! Several edits have been made for readability, including font, text size, spacing, and alignment changes. However, while our goal was to enhance the ease at which this book can be read, we did not alter or change the historic text. Experience this classic in all of its glory and historical significance!",N/A,N/A
Northanger Abbey - Large Print,['Jane Austen'],2020-12-11,[],"Now available in a 16 pt. Large Print book.NORTHANGER ABBEY is the story of seventeen-year-old Catherine Morland, one of ten children of a country clergyman, who imagines life as living in one of the Gothic novels with which she is excessively fond of reading. When she is invited by her wealthy neighbors, the Fullertons, to accompany them to the spa town of Bath she experiences her first taste of the fashionable upper-class society of England.Catherine meets the clever young gentleman, Henry Tilney, his sister Eleanor, and their father, the imposing General Tilney. The Tilneys invite Catherine to come stay with them at their estate, the titular Northanger Abbey. Catherine's naïve over-active imagination quickly leads to embarrassment when she infers some sinister circumstances regarding the lack of emotion that General Tilney shows for the loss of his deceased wife.Eventually Catherine realizes that real life is not at all like that of a Gothic novel. Noted for the insight it gives to Austen's one opinions of the literature of her day, ""Northanger Abbey"" is both a satirical parody of the gothic romance novel and the story of a young girl's maturation into womanhood.First published posthumously in 1817, ""Northanger Abbey"" was actually the first finished novel that Jane Austen wrote.",N/A,N/A
From Sacrament to Contract,"['John Witte Jr.', 'John Witte']",1997-12,['Religion'],"Analyzes the interplay between Christian theological norms and Western legal principles concerning marriage, examining the theology and law of marriage in the Catholic, Lutheran, Calvinist, Anglican, and Enlightenment traditions.",N/A,N/A
Anne's House of Dreams: Anne 5,['L. M. Montgomery'],N/A,[],N/A,N/A,N/A
Dona Flor and Her Two Husbands,['Jorge Amado'],1988,['Marriage'],N/A,N/A,N/A
Lightning,['Danielle Steel'],1995,['Fiction'],A woman whose life is threatened by breast cancer must respond to a husband incapable of providing emotional support as his career collapses.,N/A,N/A
Marriage in Tribal Societies,['Meyer Fortes'],1962,['Families'],N/A,N/A,N/A
Gender Equity in Islam,['Jamal A. Badawi'],1995*,['Marriage'],N/A,N/A,N/A
Anne's House of Dreams,['Lucy Maud Montgomery'],1981-01,['Domestic fiction'],"Anne's own true love, Gilbert Blythe, is finally a doctor. Soon the happy couple are married and bound for a new life and their own dream house, with new friends, neighbors, and problems to solve.",N/A,N/A
Who's Afraid of Virginia Woolf?,[],1964,[],"National Theatre, Louis A. Lotito, managing director, Theatre 1964, Richard Barr, Clinton Wilder, presents the evening company Nancy Kelly, Shepperd Strudwick in Edward Albee's ""Who's Afraid of Virginia Woolf?"" with Ken Kercheval, Barbara Dana, the matinee company, Michaele Myers, Kendall Clark, with Ken Kercheval, Barbara Dana, directed by Alan Schneider, production designed by William Ritman, costumes supervised by Theoni V. Aldredge.",N/A,N/A
Breaking Dawn,['Stephenie Meyer'],2008,['Juvenile Fiction'],"In the latest addition to the author's vampire love saga, following New Moon and Eclipse, questions are answered about the fate of Bella and Edward. Simultaneous.",N/A,N/A
The dark room,['Rasipuram K. Narayan'],1976,['India'],N/A,N/A,N/A
Beneath Mate Selection and Marriage,['David Klimek'],1979,['Psychology'],N/A,N/A,N/A
The Act of Marriage,"['Tim LaHaye', 'Beverly LaHaye']",1976,['Religion'],"With over 25 million copies in print, The Act of Marriage has helped thousands of Christian couples maximize their joy in sexual union and saved many marriages. Pastors, doctors, and psychologists have endorsed the LaHaye's practical insights. Copyright © Libri GmbH. All rights reserved.",N/A,N/A
The 5 Love Languages,['Gary Chapman'],2010-07,['Family & Relationships'],"Outlines five expressions of love--quality time, words of affirmation, gifts, acts of service, and physical touch-and explains how to identify and communicate effectively in a spouse's ""love language.""",N/A,N/A
(Un)tying the Knot,"['Gavin W. Jones', 'Kamalini Ramdas']",2004,['Family & Relationships'],"""(Un)tying the Knot is a collection of essays by scholars and social activists exploring aspects of marriage and divorce in Southeast and East Asia, India and beyond.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",N/A,N/A
The Marriage Mistake,['Jennifer Probst'],2013,['Americans'],"Carina Conte has had a crush on her brother Michael's best friend, Max Gray, since she was a teenager back home in Italy. Now she's earned her MBA and come to work at Michael's bakery empire. Max knows Carina is strictly off-limits, for the sake of his job and his friendship with Michael. But hot-blooded lust wins out at a conference when the two share a scorching one-night stand-- and are busted by her mother! Forced by old-world Italian tradition into a marriage he's not ready for, Max is miserable and Carina is furious. Her new husband is about to realize that hell hath no fury like a woman transformed ...",N/A,N/A
Psychology of Sex,['Havelock Ellis (sexologue).)'],1933,[],N/A,N/A,N/A
Behind Closed Doors,['B. A. Paris'],2016-09-19,[],"'A hair-raising debut, BEHIND CLOSED DOORS is both unsettling and addictive, as I raced through the pages to find out Grace's fate. A chilling thriller that will keep you reading long into the night.'--Mary Kubica, New York Times bestselling author of The Good Girl 'It took me just an afternoon to read this book and by the end, my heart was pounding. If you like fast and frantic stories, you'll love this.'--The Sun 'This one is 2016's answer to Gone Girl. Nuff said.'--Women's Health UK The perfect marriage? Or the perfect lie? Everyone knows a couple like Jack and Grace. He has looks and wealth; she has charm and elegance. You might not want to like them, but you do. You'd like to get to know Grace better. But it's difficult, because you realise Jack and Grace are never apart. Some might call this true love. Others might ask why Grace never answers the phone. Or how she can never meet for coffee, even though she doesn't work. How she can cook such elaborate meals but remain so slim. And why there are bars on one of the bedroom windows. Behind Closed Doors by B A Paris is an unforgettable, page-turning debut thriller that will appeal to fans of Gillian Flynn, Paula Hawkins and Jodi Picoult. Addictive, compulsive and much more! It's so big we can't keep it Behind Closed Doors Perfect for fans of The Girl on the Train and The Ice Twins",N/A,N/A
Tidings of Great Joy,['Sandra Brown'],1997,['Fiction'],"No one knows the secrets of a woman's heart like Sandra Brown. Now the spellbinding author of more than thirtyNew York Timesbestsellers weaves a touching, tantalizing tale of holiday romance...as a levelheaded young woman discovers how a night of passion can change your life, and your dreams, forever.... Ria Lavender is the last woman in the world to be swept away by a smooth line and a seductive smile. Talented, sophisticated, and determined, she's carved out a place for herself in the most prestigious architectural firm in the city. And she's just beginning to savor the fruits of her success when she meets a man who will change everything. Mayor-Elect Taylor MacKensie is handsome, charming, and charismatic. Still, Ria never imagines that she'll leave a Christmas party with him, or that, caught up in the magic of a snowfall and a bottle of champagne, she'll give in to desire. But the next morning she faces the stunning truth: she's slept with a man she barely knows. And that's not the only surprise in store: eight weeks later, Ria knows she's carrying Taylor MacKensie's child. Desperate to spare her baby the pain and stigma of illegitimacy, Ria makes the only decision she can. Somehow she must persuade Taylor MacKensie to agree to a temporary marriage. Yet how do you propose marriage to a relative stranger? How do you tell him you're carrying his child? And how do you react when he meets your news with anger and disbelief? Within hours, Taylor's outrage cools and he insists that they marry immediately. Suddenly Ria is sharing his house, his name, and something infinitely more dangerous to her heart...a tenderness she never expected, a passion she can't seem to control. But afraid that Taylor's motives have more to do with protecting his career--and his baby--than with his feelings for her, Ria will try her best to keep her distance...until the day tragedy strikes and teaches them both a lesson in miracles--and love. Peopled with unforgettable characters and fueled by sizzling passion, Sandra Brown's classic Christmas romance is available in hardcover for the first time.",N/A,N/A
The Member of the Wedding,['Carson McCullers'],1977,[],N/A,N/A,N/A
