title,authors,publishedDate,categories,description,averageRating,textSnippet,language
"The Life and Strange Surprising Adventures of Robinson Crusoe, of York, Mariner",['Daniel Defoe'],1869,['Adventure stories'],N/A,N/A,N/A,en
The Life and Strange Surprising Adventures of Robinson Crusoe,['Daniel Defoe'],1914,"['Crusoe, Robinson (Fictitious character)']",An Englishman's great resourcefulness enables him to survive for almost thirty years on the desert island where he is shipwrecked.,N/A,N/A,en
The Wolf Wilder,['Katherine Rundell'],2015-08-25,['Juvenile Nonfiction'],"""A slightly different version of this work was originally published in 2015 in Great Britain by Bloomsbury Publishing Plc.""",5,N/A,en
"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner, as Related by Himself",['Daniel Defoe'],1900,['Castaways'],N/A,N/A,N/A,en
Shakespeare's Comedy of Twelfth Night,['William Shakespeare'],1921,['Illyria'],N/A,N/A,N/A,en
Alive,['Piers Paul Read'],1985,['Aircraft accidents'],N/A,N/A,N/A,en
The Adventures of Robinson Crusoe,['Daniel Defoe'],1909,['Adventure and adventurers'],Abridged edition of Defoe's classic tale of a man's struggle to survive on a desert island after shipwreck.,N/A,N/A,en
The Life and Adventures of Robinson Crusoe,['Daniel Defoe'],1946,['Adventure stories'],"The diary of an Englishman shipwrecked for almost thirty years on a small isolated island where, using wit and industry, he manages to build life anew.",N/A,N/A,en
"The Life and Adventures of Robinson Crusoe, of York, Mariner",['Daniel Defoe'],1899,['Castaways'],N/A,N/A,N/A,en
"The Life and Strange Surprizing Adventures of Robinson Crusoe of York, Mariner",['Daniel Defoe'],1972,['Adventure stories'],"Crusoe leaves the English coast for Africa and finds himself the sole survivor of a shipwreck. On a desert island, he finds another human footprint on the shore, encounters cannibals, and befriends a native.",N/A,N/A,en
The Road,['Cormac McCarthy'],2007,['Fiction'],"In a novel set in an indefinite, futuristic, post-apocalyptic world, a father and his young son make their way through the ruins of a devastated American landscape, struggling to survive and preserve the last remnants of their own humanity",3.5,N/A,en
The White Plague,['Frank Herbert'],1982,['Fiction'],A gripping novel of global disaster--by the visionary creator of Dune.,N/A,N/A,en
Life of Pi,['Yann Martel'],2001,['Action and adventure fiction'],"After the sinking of a crago ship, a solitary lifeboat remains bobbing on the wild blue Pacific. The only survivors from the wreck are a sixteen-year-old boy named Pi, a hyena, a wounded zebra, and orangutan-and a 450-pound Royal Bengel tiger.",N/A,N/A,en
"The Wonderful Life and Surprising Adventures of that Renowned Hero, Robinson Crusoe",['Daniel Defoe'],1826,['Castaways'],N/A,N/A,N/A,en
The Tempest,['William Shakespeare'],1998,['Drama'],"(Applause Books). If there has ever been a groundbreaking edition that likewise returns the reader to the original Shakespeare text, it will be THE APPLAUSE FOLIO TEXTS. If there has ever been an accessible version of the Folio, it is this edition, set for the first time in modern fonts. The Folio is the source of all other editions. The Folio text forces us to re-examine the assumptions and prejudices which have encumbered over four hundred years of scholarship and performance. Notes refer the reader to subsequent editorial interventions, and offer the reader a multiplicity of interpretations. Notes also advise the reader on variations between Folios and Quartos. Prepared and annotated by Neil Freeman, Head, Graduate Directing Program, University of British Columbia.",N/A,N/A,en
Lost Horizon,['James Hilton'],1960,['Fiction'],"Two Englishmen, a woman missionary, and an American fleeing the consequences of shady financial deals are traveling companions.",N/A,N/A,en
The Scorch Trials,['James Dashner'],2015,['Juvenile Nonfiction'],"Includes excerpt from book 3 in the Maze Runner series, The Death Cure.",5,N/A,en
Catching Fire,['Suzanne Collins'],2009,['Juvenile Fiction'],"By winning the annual Hunger Games, District 12 tributes Katniss Everdeen and Peeta Mellark have secured a life of safety and plenty for themselves and their families, but because they won by defying the rules, they unwittingly become the faces of an impending rebellion.",N/A,N/A,en
The Running Man,['Stephen King'],2022-12-27,['Fiction'],A desperate man in need of money enters a game show where the objective is to stay alive for the next thirty days while an elite strike force attempts to kill him.,N/A,N/A,en
The swiss family Robinson,['Johann David Wyss'],1991,['Juvenile Fiction'],Reading Level 6-8Interest Level 6-12,N/A,N/A,en
Metro 2034,['Dmitry Glukhovsky'],2014,['Air raid shelters'],"The basis of two bestselling computer games Metro 2033 and Metro Last Light, the Metro books have put Dmitry Glukhovsky in the vanguard of Russian speculative fiction alongside the creator of NIGHT WATCH, Sergei Lukyanenko. A year after the events of METRO 2033, the last few survivors of the apocalypse, surrounded by mutants and monsters, face a terrifying new danger as they hang on for survival in the tunnels of the Moscow Metro. Featuring blistering action, vivid and tough characters, claustrophobic tension and dark satire, the Metro books have become bestsellers across Europe.",N/A,N/A,en
Big Planet,['Jack Vance'],1957,['Extraterrestrial beings'],Big planet: A small group of Earthlings crash on a planet overrun centuries before by dissident groups each of which has set up its own splinter society.,N/A,N/A,en
Robinson Crusoe,['Daniel Defoe'],2010,"['Crusoe, Robinson (Fictitious character)']",N/A,N/A,N/A,en
"Run, Boy, Run",['Uri Orlev'],2003,['Juvenile Fiction'],"Run, Boy, Run is the extraordinary account of one boy's survival of the Holocaust. Srulik is only eight years old when he finds himself all alone in the Warsaw ghetto. He escapes into the countryside where he spends the ensuing years hiding in the forest, dependent on the sympathies and generosity of the poor farmers in the surrounding area. Despite the seemingly insurmountable odds, several chases, captures, attempted executions, and even the loss of his arm, Srulik miraculously survives.",N/A,N/A,en
The Jungle Book,['Rudyard Kipling'],2016-03,[],N/A,N/A,N/A,en
Robinson Crusoe,['Daniel Defoe'],1998,"[""Children's literature""]",N/A,N/A,N/A,en
Lord of the Flies,['William Golding'],2006,[],"Classic novel by a Nobel prize winner about a group of boys who, after a plane crash, set up a primitive society on an uninhabited island. Vietnamese translation by Le Chu Cau. In Vietnamese. Distributed by Tsai Fong Books, Inc.",N/A,N/A,en
127 Hours,['Aron Ralston'],2010-10-26,['Biography & Autobiography'],"A mountaineer who survived a near-fatal accident by amputating his arm when it became trapped behind a boulder in Utah describes how he endured five days of hypothermia, dehydration, and hallucinations before managing his own rescue.",4,N/A,en
The Coral Island,['Robert Michael Ballantyne'],1960,['Shipwrecks'],"Three English boys, shipwrecked on a deserted island, create an idyllic society despite typhoons, wild hogs, and hostile visitors. Then evil pirates kidnap one of the youths whose adventures continue among the South Sea Islands.",N/A,N/A,en
Dust,['Hugh Howey'],2016,['Fiction'],"Wool introduced the world of the silo. Shift told the story of its creation. Dust will describe its downfall. Juliette, now mayor of Silo 18, doesn't trust Silo 1, especially its leader, Donald. But in the world of the Silos, there is no black and white -- everything is shades of gray. Donald may not be the monster Juliette thinks he is, and may in fact be key to humanity's continued survival. But can they work together long enough to succeed?",N/A,N/A,en
The Breadwinner,['Deborah Ellis'],2015-04-17,['Juvenile Fiction'],Originally published in 2000. Published in 2015 with additional content.,3,N/A,en
The Swiss Family Robinson,['Johann Wyss'],2013-12,['Families'],Relates the fortunes of a shipwrecked family as they imaginatively adapt to life on an island abundantly inhabited by animal and plant life.,N/A,N/A,en
The Swiss Family Robinson,['Jean Rudolph Wyss'],2018-04-03,['Fiction'],"The Swiss Family Robinson OR Adventures on a Desert Island Jean Rudolph Wyss The novel opens with the family in the hold of a sailing ship, weathering a great storm. The ships' passengers evacuate without them, and William and Elizabeth Robinson and their four children (Fritz, Ernest, Jack and Francis) are left to survive alone. As the ship tosses about, the father - William - prays that God will spare them. The ship survives the night and the family finds themselves within sight of a tropical desert island. The next morning, they decide to get to the island they can see beyond the reef. With much effort, they construct a vessel out of tubs. After they fill the tubs with food and ammunition and all other articles of value they can safely carry, they row toward the island. Two dogs from the ship named Turk and Flora swim beside them. The ship's cargo of livestock (including chickens, domestic ducks, domestic geese, and domestic pigeons), guns & powder, carpentry tools, books, a disassembled pinnace, and provisions have survived.",N/A,N/A,en
Hatchet,['Gary Paulsen'],1987,['Juvenile Fiction'],"Haunted by his parents' divorce and the secret that caused it, young Brian Robeson, the sole survivor of a plane crash in the Canadian wilderness, must draw on untested skills and strength to survive.",5,N/A,en
Dune (Movie Tie-In),['Frank Herbert'],2020-11-10,['Fiction'],"SOON TO BE A MAJOR MOTION PICTURE directed by Denis Villeneuve, starring Timoth e Chalamet, Josh Brolin, Jason Momoa, Zendaya, Rebecca Ferguson, Oscar Isaac, Javier Bardem, Dave Bautista, Stellan Skarsg rd, and Charlotte Rampling. Frank Herbert's classic masterpiece--a triumph of the imagination and one of the bestselling science fiction novels of all time. Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the ""spice"" melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for.... When House Atreides is betrayed, the destruction of Paul's family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad'Dib, he will bring to fruition humankind's most ancient and unattainable dream. A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.",N/A,N/A,en
